spcd,common name,Genus,Species,Species2,phy,myc,spcd,totdbh,Order,family,Clade,Phycat1,Phycat2,Leaf N_mg_g,Sample_Size_LeafN
61,Ashe juniper,Juniperus,ashei,Juniperus ashei,G,a,61,0,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,,
876,Florida strangler fig,Ficus,aurea,Ficus aurea,A,a,876,0,Rosales,Moraceae,Fabids,Other,Other,,
451,southern catalpa,Catalpa,bignonioides,Catalpa bignonioides,A,a,451,0,Lamiales,Bignoniaceae,Asterids,Other,Other,,
581,Carolina silverbell,Halesia,carolina,Halesia carolina,A,a,581,0,Ericales,Styraccaceae,Asterids,Other,Other,,
413,southern shagbark hickory,Carya,carolinae-septentrionalis,Carya carolinae-septentrionalis,A,e,413,0,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
262,Carolina hemlock,Tsuga,caroliniana,Tsuga caroliniana,G,e,262,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
772,"sour cherry, domesticated",Prunus,cerasus,Prunus cerasus,A,a,772,0,Rosales,Rosaceae,Fabids,Other,Other,,
937,northern mountain-ash,Sorbus,decora,Sorbus decora,A,a,937,0,Rosales,Rosaceae,Fabids,Other,Other,,
582,two-wing silverbell,Halesia,diptera,Halesia diptera,A,a,582,0,Ericales,Styraccaceae,Asterids,Other,Other,,
882,"beeftree, longleaf blolly",Guapira,discolor,Guapira discolor,A,e,882,0,,,,,,,
863,"tietongue, pigeon-plum",Coccoloba,diversifolia,Coccoloba diversifolia,A,a,863,0,,,,,,,
987,buttonwood-mangrove,Conocarpus,erectus,Conocarpus erectus,A,a,987,0,,,,,,,
60,Drooping juniper,Juniperus,flaccida,Juniperus flaccida,G,a,60,0,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,,
853,pond-apple,Annona,glabra,Annona glabra,A,a,853,0,Magnoliales,Annonaceae,Magnolids,Other,Other,,
664,prairie crab apple,Malus,ioensis,Malus ioensis,A,a,664,0,Rosales,Rosaceae,Fabids,Other,Other,,
481,yellowwood,Cladrastis,kentukea,Cladrastis kentukea,A,a,481,0,,,,,,,
463,netleaf hackberry,Celtis,laevigata,Celtis laevigata,A,a,463,0,Rosales,Cannabaceae,Fabids,Other,Other,,
542,Oregon ash,Fraxinus,latifolia,Fraxinus latifolia,A,a,542,0,Lamiales,Oleaceae,Asterids,Other,Oleaceae,,
857,belah,Casuarina,lepidophloia,Casuarina lepidophloia,A,e,857,0,,,,,,,
911,Mexican palmetto,Sabal,mexicana,Sabal mexicana,A,a,911,0,Arecales,Arecaceae,Monocot,Other,Other,,
913,key thatch palm,Thrinax,morrisii,Thrinax morrisii,A,a,913,0,,,,,,,
765,Canada plum,Prunus,nigra,Prunus nigra,A,a,765,0,Rosales,Rosaceae,Fabids,Other,Other,,
844,Oglethorpe oak,Quercus,oglethorpensis,Quercus oglethorpensis,A,e,844,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
336,red buckeye,Aesculus,pavia,Aesculus pavia,A,a,336,0,Sapindales,Hippocastanaceae,Malvids,Other,Other,,
887,fishpoison tree,Piscidia,piscipula,Piscidia piscipula,A,a,887,0,,,,,,,
845,dwarf chinkapin oak,Quercus,prinoides,Quercus prinoides,A,e,845,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
545,pumpkin ash,Fraxinus,profunda,Fraxinus profunda,A,a,545,0,Lamiales,Oleaceae,Asterids,Other,Oleaceae,,
422,Allegheny chinkapin,Castanea,pumila,Castanea pumila,A,e,422,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
926,balsam willow,Salix,pyrifolia,Salix pyrifolia,A,b,926,0,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,,
873,red stopper,Eugenia,rhombea,Eugenia rhombea,A,a,873,0,,,,,,,
358,roundleaf serviceberry,Amelanchier,sanguinea,Amelanchier sanguinea,A,a,358,0,Rosales,Rosaceae,Fabids,Other,Other,,
929,weeping willow,Salix,sepulcralis,Salix sepulcralis,A,b,929,0,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,,
976,September elm,Ulmus,serotina,Ulmus serotina,A,a,976,0,Rosales,Ulmaceae,Fabids,Other,Other,,
808,Durand oak,Quercus,sinuata,Quercus sinuata,A,e,808,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
310,maple spp.,Acer,spp.,Acer spp.,A,a,310,0,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,,
330,"buckeye, horsechestnut spp.",Aesculus,spp.,Aesculus spp.,A,a,330,0,Sapindales,Hippocastanaceae,Malvids,Other,Other,,
350,alder spp.,Alnus,spp.,Alnus spp.,A,e,350,0,Fagales,Betulaceae,Fabids,Other,Betulaceae,,
420,chestnut spp.,Castanea,spp.,Castanea spp.,A,e,420,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
460,hackberry spp.,Celtis,spp.,Celtis spp.,A,a,460,0,Rosales,Cannabaceae,Fabids,Other,Other,,
860,citrus spp.,Citrus,spp.,Citrus spp.,A,a,860,0,,,,,,,
510,eucalyptus spp.,Eucalyptus,spp.,Eucalyptus spp.,A,e,510,0,,,,,,,
600,walnut spp.,Juglans,spp.,Juglans spp.,A,a,600,0,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
70,larch spp.,Larix,spp.,Larix spp.,G,e,70,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
650,magnolia spp.,Magnolia,spp.,Magnolia spp.,A,a,650,0,Magnoliales,Magnoliaceae,Magnolids,Other,Other,,
690,tupelo spp.,Nyssa,spp.,Nyssa spp.,A,a,690,0,Cornales,Cornaceae,Asterids,Other,Other,,
720,bay spp.,Persea,spp.,Persea spp.,A,a,720,0,Laurales,Lauraceae,Magnolids,Other,Other,,
90,spruce spp.,Picea,spp.,Picea spp.,G,e,90,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
100,pine spp.,Pinus,spp.,Pinus spp.,G,e,100,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
729,sycamore spp.,Platanus,spp.,Platanus spp.,A,a,729,0,Proteales,Platanaceae,Asterids,Other,Other,,
909,royal palm spp.,Roystonea,spp.,Roystonea spp.,A,a,909,0,,,,,,,
934,mountain-ash spp.,Sorbus,spp.,Sorbus spp.,A,a,934,0,Rosales,Rosaceae,Fabids,Other,Other,,
260,hemlock spp.,Tsuga,spp.,Tsuga spp.,G,e,260,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
